english,turkish,level
because,çünkü,1
however,ancak,2
although,rağmen,2
example,örnek,1
quick,hızlı,0
apple,elma,0
book,kitap,0
car,araba,0
water,su,0
house,ev,0
school,okul,0
friend,arkadaş,0
family,aile,0
city,şehir,0
food,yemek,0
day,gün,0
night,gece,0
man,adam,0
woman,kadın,0
child,çocuk,0
boy,oğlan,0
girl,kız,0
mother,anne,0
father,baba,0
brother,erkek kardeş,0
sister,kız kardeş,0
name,isim,0
time,zaman,0
year,yıl,0
week,hafta,0
today,bugün,0
tomorrow,yarın,0
yesterday,dün,0
morning,sabah,0
evening,akşam,0
work,iş,0
job,meslek,0
money,para,0
price,fiyat,0
shop,dükkan,0
market,market,0
street,sokak,0
road,yol,0
country,ülke,0
world,dünya,0
home,ev,0
room,oda,0
bed,yatak,0
table,masa,0
chair,sandalye,0
door,kapı,0
window,pencere,0
phone,telefon,0
computer,bilgisayar,0
internet,internet,0
music,müzik,0
movie,film,0
game,oyun,0
color,renk,0
red,kırmızı,0
blue,mavi,0
green,yeşil,0
black,siyah,0
white,beyaz,0
big,büyük,0
small,küçük,0
long,uzun,0
short,kısa,0
new,yeni,0
old,eski,0
good,iyi,0
bad,kötü,0
easy,kolay,0
hard,zor,0
happy,mutlu,0
sad,üzgün,0
angry,kızgın,0
tired,yorgun,0
hungry,aç,0
thirsty,susamış,0
hot,sıcak,0
cold,soğuk,0
open,açık,0
close,kapalı,0
start,başlamak,0
finish,bitirmek,0
go,gitmek,0
come,gelmek,0
see,görmek,0
look,bakmak,0
hear,duymak,0
listen,dinlemek,0
speak,konuşmak,0
say,söylemek,0
read,okumak,0
write,yazmak,0
learn,öğrenmek,0
teach,öğretmek,0
eat,yemek yemek,0
drink,içmek,0
sleep,uyumak,0
wake,uyanmak,0
run,koşmak,0
walk,yürümek,0
sit,oturmak,0
stand,ayakta durmak,0
buy,satın almak,0
sell,satmak,0
pay,ödemek,0
use,kullanmak,0
make,yapmak,0
give,vermek,0
take,almak,0
help,yardım etmek,0
love,sevmek,0
like,hoşlanmak,0
want,istemek,0
need,ihtiyaç duymak,0
know, bilmek,0
think,düşünmek,0
feel,hissetmek,0
live,yaşamak,0
work,çalışmak,0
play,oynamak,0
try,denemek,0
before,önce,0
after,sonra,0
now,şimdi,0
early,erken,0
late,geç,0
always,her zaman,0
often,sık sık,0
sometimes,bazen,0
never,asla,0
here,burada,0
there,orada,0
inside,içeride,0
outside,dışarıda,0
left,sol,0
right,sağ,0
up,yukarı,0
down,aşağı,0
near,yakın,0
far,uzak,0
same,aynı,0
different,farklı,0
full,dolu,0
empty,boş,0
clean,temiz,0
dirty,kirli,0
fast,hızlı,0
slow,yavaş,0
strong,güçlü,0
weak,zayıf,0
young,genç,0
old,yaşlı,0
beautiful,güzel,0
ugly,çirkin,0
important,önemli,0
cheap,ucuz,0
expensive,pahalı,0
busy,meşgul,0
free,boş,0
ready,hazır,0
safe,güvenli,0
dangerous,tehlikeli,0
true,doğru,0
false,yanlış,0
right,doğru,0
wrong,yanlış,0
question,soru,0
answer,cevap,0
problem,sorun,0
idea,fikir,0
plan,plan,0
story,hikaye,0
news,haber,0
place,yer,0
thing,şey,0
person,kişi,0
people,insanlar,0
group,grup,0
team,takım,0
company,şirket,0
office,ofis,0
schoolbag,okul çantası,0
class,sınıf,0
lesson,ders,0
teacher,öğretmen,0
student,öğrenci,0
bookstore,kitapçı,0
library,kütüphane,0
hospital,hastane,0
doctor,doktor,0
nurse,hemşire,0
police,polis,0
fireman,itfaiyeci,0
driver,sürücü,0
worker,işçi,0
farmer,çiftçi,0
engineer,mühendis,0
manager,yönetici,0
boss,patron,0
customer,müşteri,0
guest,misafir,0
neighbor,komşu,0
friendship,dostluk,0
meeting,toplantı,0
party,parti,0
holiday,tatil,0
travel,seyahat etmek,0
trip,gezi,0
journey,yolculuk,0
ticket,bilet,0
hotel,otel,0
roommate,oda arkadaşı,0
breakfast,kahvaltı,0
lunch,öğle yemeği,0
